OLD_ID,NEW_ID,COUNT
0,0,18639053587
1,0,67
1,1,2895026949
1,2,2065476
1,5,540562
1,6,1942038
1,8,13194930
1,10,48111920
1,11,77460
1,12,253441
1,13,6786
1,14,11014849
1,15,31413
1,16,1672161
1,17,192858
1,18,1823152
1,19,2470
2,1,2056915
2,2,239661897
2,5,787
2,6,62847
2,8,611562
2,10,10097800
2,11,77160
2,12,255967
2,13,14342
2,14,1575705
2,15,832
2,16,434558
2,17,4360
2,18,249448
2,19,358
3,3,1
5,0,178
5,1,981287
5,2,4608
5,5,216769381
5,6,1079498
5,8,1957331
5,10,646096
5,11,18135
5,12,6315
5,13,155
5,14,710170
5,15,596399
5,16,37198
5,17,117939
5,18,130499
5,19,63
6,0,152
6,1,3555501
6,2,16846
6,5,943357
6,6,643901262
6,8,2233952
6,10,1684239
6,11,7604
6,12,2248
6,13,139
6,14,644790
6,15,132591
6,16,72694
6,17,98832
6,18,98730
6,19,165
8,0,40
8,1,936934
8,2,64455
8,5,17321
8,6,108609
8,8,491106210
8,10,2160539
8,11,9750
8,12,108431
8,13,2449
8,14,759868
8,15,19559
8,16,167988
8,17,60213
8,18,102779
8,19,339
10,0,18
10,1,998194
10,2,114943
10,5,203421
10,6,164146
10,8,1029497
10,10,377448460
10,11,8635
10,12,49549
10,13,4229
10,14,449718
10,15,342507
10,16,569095
10,17,83941
10,18,69746
10,19,1943
11,1,272338
11,2,66766
11,5,44
11,6,37982
11,8,85571
11,10,462525
11,11,567467857
11,12,187950
11,13,11812
11,14,65049
11,16,16851
11,17,479
11,18,64420
11,19,4
12,0,2
12,1,414387
12,2,221692
12,5,461
12,6,36403
12,8,248924
12,10,1980973
12,11,441001
12,12,805797512
12,13,36229
12,14,409192
12,15,685
12,16,298612
12,17,6067
12,18,132634
12,19,241
13,0,3
13,1,78329
13,2,21199
13,5,402
13,6,4546
13,8,29455
13,10,447220
13,11,45145
13,12,158184
13,13,750791866
13,14,47765
13,15,227
13,16,63052
13,17,1413
13,18,49687
13,19,26
14,0,10
14,1,2761983
14,2,171866
14,5,331877
14,6,139393
14,8,1811203
14,10,4898704
14,11,137616
14,12,137121
14,13,40602
14,14,775476530
14,15,631481
14,16,81119
14,17,113258
14,18,1161452
14,19,866
15,0,68
15,1,14102
15,5,52445
15,6,29426
15,8,114653
15,10,75863
15,14,44764
15,15,494508771
15,16,2467
15,17,67229
15,18,142048
16,0,15
16,1,4971321
16,2,118639
16,5,168513
16,6,500477
16,8,4397682
16,10,12542949
16,11,149883
16,12,89568
16,13,16530
16,14,1249192
16,15,60735
16,16,648609331
16,17,58881
16,18,264613
16,19,20025
17,0,17
17,1,72427
17,2,3873
17,5,11219
17,6,17605
17,8,45020
17,10,81411
17,11,411
17,12,2516
17,13,75
17,14,14789
17,15,92825
17,16,66345
17,17,71915178
17,18,109576
17,19,80
18,0,35
18,1,1658
18,2,43
18,5,561
18,6,727
18,8,1172
18,10,1853
18,11,5
18,12,63
18,13,76
18,14,9948
18,15,1990
18,16,241
18,17,1289824
18,18,2407595685
18,19,9
19,0,19
19,1,57693
19,2,13
19,5,2
19,6,19
19,8,16798
19,10,49290
19,11,2
19,12,226
19,13,94
19,14,524
19,15,135
19,16,5077919
19,17,9594
19,18,106417
19,19,203299008
