ID,COUNT
0,776
1,1659
2,55464345
3,0
4,0
5,20501128
6,33188836
7,0
8,130090446
9,0
10,153452403
11,32246471
12,71741714
13,77191984
14,22075
15,4582944
16,83061272
17,8126472
18,73279502
19,7985570
