ID,COUNT
0,0
1,2912200018
2,242532316
3,1
4,0
5,219040353
6,648024978
7,0
8,516883960
9,0
10,460689842
11,568440664
12,807049091
13,750925384
14,792472853
15,496420150
16,657169631
17,74020066
18,2412100886
19,203325597
