ID,COUNT
0,14030635
1,255316150
2,30469588
3,0
4,0
5,16941419
6,50086514
7,0
8,60975651
9,0
10,37178651
11,302
12,89938275
13,96628039
14,55108
15,27075
16,60057362
17,10530962
18,21539404
19,7162462
