ID,COUNT
0,624
1,17173069
2,2870419
3,0
4,0
5,2270972
6,4123716
7,0
8,25777750
9,0
10,83241382
11,972807
12,1251579
13,133518
14,16996323
15,1911379
16,8560300
17,2104888
18,4505201
19,26589
